symbol,geneticConstraint,hasHighQualityChemicalProbes,expressionAtlas
HAGH,0.6081632653061224,,0.0429066804150132
PAM16,0.1210148924434639,,0.0
SHROOM1,0.4596800882515168,,0.0
STAT3,-0.9918367346938776,1,0.0583042811441755
HAVCR2,-0.3004964147821291,,0.0
GRK5,-0.5629343629343629,,0.0
WNT2,-0.6760066188637617,,0.0
ST3GAL4,-0.3478212906784335,,0.0
SERPINF1,0.1658025372311087,,0.0639488213568967
TJP2,-0.2466629895201323,,0.0
MRPL34,0.9324875896304468,,0.0360751637578072
ITPKB,-0.8544953116381688,,0.0822566588769496
CAMK1D,-0.8333149476006618,1,0.0
NUP88,-0.3707666850523993,,0.0238000863717338
SYBU,-0.1319360176503033,,0.0420749501004971
ATM,-0.2109211252068394,1,0.0
MINK1,-0.7923883066740209,,0.0911563959363273
DYNC1I2,-0.2215113072255929,,0.0
FTCD,0.7474903474903476,,0.0
HIF1A,-0.8435741864313293,,0.0
TFPI,-0.6226144511858798,,0.0
CDK11B,-0.1138444567015996,,0.0
SLIT3,-0.7132928847214561,,0.0
ABCG1,-0.604853833425262,,0.0
COX7B2,0.8309983452840595,,0.0
ANKRD55,-0.2166574738003309,,0.0
SAP30L,-0.2551571980143409,,0.0
TBL1XR1,-0.970546056260342,,0.0
G3BP2,0.1157198014340872,,0.0262976871760614
NEK6,-0.000330943188086,,0.0
ZBTB9,-0.0693877551020408,,0.0
ESRP2,-0.3616105901820188,,0.0
TYW1,-0.5458356315499173,,0.0
LGMN,-0.2018753447324875,,0.0095928176652144
NDUFA7,0.9178157749586322,,0.0
KHDRBS2,-0.1464975179260893,,0.0
GSTO1,0.7894098179812465,0,0.0852988749253405
NFATC2,-0.8327633756205185,,0.0
ZC3H14,-0.7439602868174297,,0.0
DENND1A,-0.5771649200220629,,0.0
TLR5,0.8775510204081634,,0.0
SH3BGRL,0.0,,0.0400793790029602
MUC19,0.0,,0.0
HCN4,-0.6077220077220078,,0.0
CSNK2A2,-0.7678985107556536,1,0.0
NDUFS6,0.7108659680088252,,0.0378467022368228
SMARCC1,-0.8274682846111417,,0.0432241214450566
HLA-DQA2,0.4821842250413679,,0.0
RPS6KC1,-0.4633204633204633,,0.0304641724988684
SCLY,0.1402095973524544,,0.0
FOXO1,-0.8474351902923332,,0.0823336751178658
RBCK1,-0.1359073359073359,,0.0
COX6A2,0.942084942084942,,0.0
BZW2,-0.5726420297848869,,0.0
L3MBTL3,-0.8660783232211804,1,0.0
PRRX1,-0.6069498069498069,,0.0
MAPKAP1,-0.8276889134031991,,0.0
RGMB,-0.0742415885273027,,0.0
SLC25A6,0.0,,0.0
SLC25A6,0.0,,0.0
KCNJ3,-0.94142305570877,,0.009205002719726
ACTR2,-0.9685603971318256,,0.0366381908509461
ARHGAP8,0.7676778819635963,,0.0
DUSP2,0.6402647545504689,,0.0
CSE1L,-0.9040264754550468,,0.0
B3GNT2,-0.4733590733590733,,0.0
ADGRA3,-0.5586321014892444,,0.0579300220543806
MRPS15,0.3243243243243243,,0.0716758401929701
ALDH8A1,0.2530612244897958,,0.0
ANO5,0.1227799227799228,,0.00894390772773
PSME4,-0.803088803088803,,0.0
CKMT1B,-0.2862658576944291,,0.0
FCRL2,0.1028130170987313,,0.0
NEGR1,-0.7626034197462769,,0.039732222807516
GPX1,0.5895201323772752,,0.0
DDR2,-0.8202978488692775,1,0.0
RHOH,-0.2174296745725317,,0.0
MB21D2,-0.728957528957529,,0.0
ANAPC1,-0.907777164920022,,0.0
ARHGEF10L,-0.4979591836734693,,0.0
TEAD1,-0.9046883618312188,1,0.0407966016924407
RYR2,-0.7681191395477109,,0.0728486686601902
PPIG,-0.717484831770546,,0.0
HNF4G,-0.7704357418643133,,0.0
OLFM4,0.3380033094318808,,0.0
CHRNA2,0.3820187534473249,,0.0
CELF4,-0.6351902923331495,,0.0
BPIFA1,0.5664644236072807,,0.0
GABRA4,-0.8100386100386101,,0.0470448867714267
DYNLRB1,-0.202426916712631,,0.0
SLC6A1,-0.9792608935466078,0,0.0
CNTNAP5,-0.529619415333701,,0.0
DIO2,0.495973524544953,,0.0
CREM,-0.6512961941533371,,0.0
EED,-0.7843353557639272,1,0.0
FRMD5,-0.701930501930502,,0.0190278916965019
ZNF579,0.9367898510755654,,0.0
COQ5,-0.2680639823496966,,0.0
ABL1,-0.9620518477661336,1,0.0
HIPK1,-0.841588527302813,,0.0541012703985518
LTN1,-0.7193601765030336,,0.0
CORO1C,-0.8142305570877,,0.0430047357132194
FBP1,0.3264202978488693,0,0.0
ARFGEF1,-0.9335907335907336,,0.0
MRPL36,0.7211252068394927,,0.0865600683827791
OARD1,0.8274682846111419,,0.0
CYRIB,-0.7911748483177055,,0.0
SEC14L1,-0.4019856591285162,,0.0125218999281813
MRC1,0.0,,0.0
E2F1,-0.7962493105350248,,0.0
EPS15L1,-0.7371207942636514,,0.0
PDE3A,-0.3458356315499172,,0.0
ADARB2,-0.463099834528406,,0.0
STAG1,-0.9767236624379482,,0.0
REEP5,0.6557087699944844,,0.0429128665518098
CUX1,-0.9036955322669608,,0.0476192496724772
